"count","server_name","directory","counter_name","file"
1,"dl1gslweb01","PerfLogs","Application_GS_WEB01","Performance Counter.blg"
2,"dl1gslweb02","PerfLogs","Application_GS_WEB02","Performance Counter.blg"
3,"dl1gslweb03","PerfLogs","Application_GS_WEB03","Performance Counter.blg"
4,"dl1gslweb04","PerfLogs","Application_GS_WEB04","Performance Counter.blg"
5,"dl1gslweb05","PerfLogs","Application_GS_WEB05","Performance Counter.blg"
6,"dl1gslweb06","PerfLogs","Application_GS_WEB06","Performance Counter.blg"
7,"dl1gslweb07","PerfLogs","Application_GS_WEB07","Performance Counter.blg"
8,"dl1gslweb08","PerfLogs","Application_GS_WEB08","Performance Counter.blg"
9,"dl1gslweb11","PerfLogs","Application_GS_WEB11","Performance Counter.blg"
10,"dl1gslweb12","PerfLogs","Application_GS_WEB12","Performance Counter.blg"
11,"dl1gslweb13","PerfLogs","Application_GS_WEB13","Performance Counter.blg"
12,"dl1gslweb14","PerfLogs","Application_GS_WEB14","Performance Counter.blg"
13,"dl1gslweb15","PerfLogs","Application_GS_WEB15","Performance Counter.blg"
14,"dl1gslweb16","PerfLogs","Application_GS_WEB16","Performance Counter.blg"
15,"dl1gslweb17","PerfLogs","Application_GS_WEB17","Performance Counter.blg"
16,"dl1gslweb18","PerfLogs","Application_GS_WEB18","Performance Counter.blg"
17,"dl1gslaws01","PerfLogs","Application_GS_AWS01","Performance Counter.blg"
18,"dl1gslaws02","PerfLogs","Application_GS_AWS02","Performance Counter.blg"
19,"dl1gslaws03","PerfLogs","Application_GS_AWS03","Performance Counter.blg"
20,"dl1gslaws04","PerfLogs","Application_GS_AWS04","Performance Counter.blg"
21,"dl1gslaws05","PerfLogs","Application_GS_AWS05","Performance Counter.blg"
22,"dl1gslaws06","PerfLogs","Application_GS_AWS06","Performance Counter.blg"
23,"dl1gslaws07","PerfLogs","Application_GS_AWS07","Performance Counter.blg"
24,"dl1gslaws08","PerfLogs","Application_GS_AWS08","Performance Counter.blg"
